strategy,ticker,entry_date,entry_price,exit_price,exit_date,exit_reason,pnl_pct,win,hold_days,hold_bars_actual,regime,strategy_count,tech_signals,agent_score,confidence_tier,phase
ichimoku_cloud_breakout,GLD,2023-01-02,171.32000732421875,170.52000427246094,2023-01-05,max_hold,-0.467,False,3,3,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-02,171.32000732421875,174.10000610351562,2023-01-09,max_hold,1.6227,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-02,171.32000732421875,177.05420732421874,2023-01-13,take_profit,3.3471,True,10,9,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-02,171.32000732421875,177.05420732421874,2023-01-13,take_profit,3.3471,True,15,9,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
ichimoku_cloud_breakout,GLD,2023-01-02,171.32000732421875,177.05420732421874,2023-01-13,take_profit,3.3471,True,20,9,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
supertrend_plus_macd,GLD,2023-01-02,171.32000732421875,170.52000427246094,2023-01-05,max_hold,-0.467,False,3,3,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
supertrend_plus_macd,GLD,2023-01-02,171.32000732421875,174.10000610351562,2023-01-09,max_hold,1.6227,True,5,5,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
supertrend_plus_macd,GLD,2023-01-02,171.32000732421875,177.05420732421874,2023-01-13,take_profit,3.3471,True,10,9,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
supertrend_plus_macd,GLD,2023-01-02,171.32000732421875,177.05420732421874,2023-01-13,take_profit,3.3471,True,15,9,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
supertrend_plus_macd,GLD,2023-01-02,171.32000732421875,177.05420732421874,2023-01-13,take_profit,3.3471,True,20,9,rate_rising_2022_2023|strong_bull_2023,3,16,,,phase_1a
