strategy,point_sharpe,ci_low,ci_high,n_trades,method
avwap_252_breakout,-4.09140455450106,,,5,insufficient_sample
avwap_50_reclaim,-6.486688094114725,,,16,insufficient_sample
bollinger_lower,-13.43804434359993,,,14,insufficient_sample
bollinger_tight,-8.358444932131198,,,10,insufficient_sample
buyback_8k_recent_long,-242.0220935686861,,,2,insufficient_sample
cmf_flip,-4.20258517367333,,,2,insufficient_sample
cpr_narrow_bullish,-0.21606661363704846,-7.292794026081679,4.911228866761001,31,bootstrap
htf_aligned_breakout_long,7.054288121039777,,,2,insufficient_sample
htf_aligned_breakout_short,-1.5686920529823485,,,3,insufficient_sample
hull_rsi,-2.392200804503408,,,2,insufficient_sample
macd_fast_crossover,0.0,,,1,insufficient_sample
monthly_bias_momentum_long,4.347296710071486,,,17,insufficient_sample
orb_stocks_in_play_short,0.0,,,1,insufficient_sample
pivot_r1_breakout,-21.724302623232433,,,3,insufficient_sample
po3_bearish,-5.53495123296214,,,13,insufficient_sample
po3_bullish,-5.1643154905778665,,,20,insufficient_sample
prev_day_low_bounce,0.0,,,1,insufficient_sample
rsi_oversold,-30.545738491837735,,,2,insufficient_sample
smc_bos_continuation,-35.97746814771118,,,2,insufficient_sample
smc_bos_retest_entry,-13.427604550272287,,,2,insufficient_sample
smc_choch_reversal,-2.4508289519319106,,,7,insufficient_sample
smc_inverse_fvg,2.254624359796381,,,2,insufficient_sample
smc_liquidity_sweep_reversal,-1.7311768600104913,,,3,insufficient_sample
smc_order_block_bounce,0.0,,,1,insufficient_sample
smc_ote_long,0.0,,,1,insufficient_sample
stochrsi_oversold,2.036182747359194,,,5,insufficient_sample
ultimate_oscillator,-21.550641654908805,,,2,insufficient_sample
williams_r_oversold,29.423487012972547,,,2,insufficient_sample
xs_momentum_top_decile,-0.23445324396141856,,,9,insufficient_sample
