strategy,exit_method,8K_filed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
monthly_bias_momentum_long,multi_tier_partial,yes,10,0.2,-1.59589,-15.9589
monthly_bias_momentum_long,next_pivot_target,no,7,0.7142857142857143,-1.0609857142857142,-7.4269
monthly_bias_momentum_long,next_pivot_target,yes,10,0.6,-0.11876000000000002,-1.1876000000000002
monthly_bias_momentum_long,r_multiple_2r,no,7,0.42857142857142855,0.5019857142857143,3.5138999999999996
monthly_bias_momentum_long,r_multiple_2r,yes,10,0.2,-1.1428800000000001,-11.4288
monthly_bias_momentum_long,r_multiple_3r,no,7,0.42857142857142855,0.8781,6.1467
monthly_bias_momentum_long,r_multiple_3r,yes,10,0.1,-1.52689,-15.2689
monthly_bias_momentum_long,regime_flip,no,7,0.5714285714285714,1.2957714285714286,9.0704
monthly_bias_momentum_long,regime_flip,yes,10,0.8,3.61545,36.1545
monthly_bias_momentum_long,reverse_signal,no,7,0.42857142857142855,1.0200714285714285,7.1405
monthly_bias_momentum_long,reverse_signal,yes,10,0.1,-1.65295,-16.5295
monthly_bias_momentum_long,smc_mitigation_zone,no,7,0.42857142857142855,1.0200714285714285,7.1405
monthly_bias_momentum_long,smc_mitigation_zone,yes,10,0.1,-1.46356,-14.6356
monthly_bias_momentum_long,time_stop_10d,no,7,0.42857142857142855,0.4369142857142858,3.0584000000000007
monthly_bias_momentum_long,time_stop_10d,yes,10,0.7,2.76139,27.6139
monthly_bias_momentum_long,time_stop_20d,no,7,0.5714285714285714,1.2957714285714286,9.0704
monthly_bias_momentum_long,time_stop_20d,yes,10,0.8,3.61545,36.1545
monthly_bias_momentum_long,trailing_10pct,no,7,0.42857142857142855,-1.735657142857143,-12.149600000000001
monthly_bias_momentum_long,trailing_10pct,yes,10,0.5,8.36294,83.6294
monthly_bias_momentum_long,trailing_15pct,no,7,0.2857142857142857,-4.4468000000000005,-31.1276
monthly_bias_momentum_long,trailing_15pct,yes,10,0.5,8.55115,85.5115
monthly_bias_momentum_long,trailing_5pct,no,7,0.42857142857142855,-0.12787142857142864,-0.8951000000000005
monthly_bias_momentum_long,trailing_5pct,yes,10,0.4,1.4428100000000001,14.4281
po3_bearish,atr_trail_1x,no,6,0.3333333333333333,-0.9528,-5.7168
po3_bearish,atr_trail_1x,yes,7,0.2857142857142857,-1.8872,-13.2104
po3_bearish,atr_trail_2x,no,6,0.3333333333333333,-1.1934333333333331,-7.160599999999999
po3_bearish,atr_trail_2x,yes,7,0.2857142857142857,-2.8325285714285715,-19.8277
po3_bearish,atr_trail_mae_conditional,no,6,0.3333333333333333,-0.9528,-5.7168
po3_bearish,atr_trail_mae_conditional,yes,7,0.2857142857142857,-1.8872,-13.2104
po3_bearish,atr_trail_vix_conditional,no,6,0.3333333333333333,-0.7857,-4.7142
po3_bearish,atr_trail_vix_conditional,yes,7,0.14285714285714285,-1.9237714285714287,-13.4664
po3_bearish,break_even_at_1r,no,6,0.16666666666666666,-1.4128666666666667,-8.4772
po3_bearish,break_even_at_1r,yes,7,0.0,-2.1229,-14.8603
po3_bearish,breakeven_plus_trail,no,6,0.16666666666666666,-0.9147333333333334,-5.4884
po3_bearish,breakeven_plus_trail,yes,7,0.2857142857142857,-0.6336714285714284,-4.435699999999999
po3_bearish,chandelier_3x,no,6,0.16666666666666666,-2.38465,-14.3079
po3_bearish,chandelier_3x,yes,7,0.2857142857142857,-1.0450285714285714,-7.3152
po3_bearish,class_time_stop,no,6,0.16666666666666666,-5.241216666666666,-31.4473
po3_bearish,class_time_stop,yes,7,0.14285714285714285,-9.721342857142856,-68.04939999999999
po3_bearish,earnings_blackout,no,6,0.3333333333333333,-27.661500000000004,-165.96900000000002
po3_bearish,earnings_blackout,yes,7,0.42857142857142855,-14.015428571428572,-98.108
po3_bearish,fixed_4r_2r,no,6,0.16666666666666666,-1.0382666666666667,-6.2296
po3_bearish,fixed_4r_2r,yes,7,0.2857142857142857,-1.7835285714285714,-12.4847
po3_bearish,hybrid_50pct_target,no,6,0.6666666666666666,-13.3133,-79.8798
po3_bearish,hybrid_50pct_target,yes,7,0.5714285714285714,-11.316,-79.212
po3_bearish,ma_exit_ema9,no,6,0.3333333333333333,1.3675500000000003,8.205300000000001
po3_bearish,ma_exit_ema9,yes,7,0.14285714285714285,-1.3680999999999999,-9.576699999999999
po3_bearish,mfe_lockin_trail,no,6,0.3333333333333333,-0.9528,-5.7168
po3_bearish,mfe_lockin_trail,yes,7,0.2857142857142857,-1.8872,-13.2104
po3_bearish,multi_tier_partial,no,6,0.5,-0.08698333333333334,-0.5219
po3_bearish,multi_tier_partial,yes,7,0.2857142857142857,-1.7132142857142856,-11.9925
po3_bearish,next_pivot_target,no,6,0.5,-4.360316666666667,-26.161900000000003
po3_bearish,next_pivot_target,yes,7,0.7142857142857143,-2.130057142857143,-14.9104
po3_bearish,r_multiple_2r,no,6,0.3333333333333333,0.17508333333333334,1.0505
po3_bearish,r_multiple_2r,yes,7,0.14285714285714285,-1.907242857142857,-13.3507
po3_bearish,r_multiple_3r,no,6,0.16666666666666666,0.11754999999999989,0.7052999999999994
po3_bearish,r_multiple_3r,yes,7,0.0,-2.726642857142857,-19.0865
po3_bearish,regime_flip,no,6,0.3333333333333333,-7.418733333333333,-44.5124
po3_bearish,regime_flip,yes,7,0.14285714285714285,-7.299285714285714,-51.095
po3_bearish,reverse_signal,no,6,0.3333333333333333,-0.9528,-5.7168
po3_bearish,reverse_signal,yes,7,0.2857142857142857,-1.8872,-13.2104
po3_bearish,smc_mitigation_zone,no,6,0.5,-0.8388666666666666,-5.0332
po3_bearish,smc_mitigation_zone,yes,7,0.2857142857142857,-1.820242857142857,-12.7417
po3_bearish,time_stop_10d,no,6,0.3333333333333333,-4.51945,-27.1167
po3_bearish,time_stop_10d,yes,7,0.2857142857142857,-2.099485714285714,-14.696399999999999
po3_bearish,time_stop_20d,no,6,0.3333333333333333,-7.418733333333333,-44.5124
po3_bearish,time_stop_20d,yes,7,0.14285714285714285,-7.299285714285714,-51.095
po3_bearish,trailing_10pct,no,6,0.16666666666666666,-6.3069999999999995,-37.842
po3_bearish,trailing_10pct,yes,7,0.2857142857142857,-0.7744714285714286,-5.4213000000000005
po3_bearish,trailing_15pct,no,6,0.5,-3.3996666666666666,-20.398
po3_bearish,trailing_15pct,yes,7,0.42857142857142855,-0.5275571428571426,-3.692899999999998
po3_bearish,trailing_5pct,no,6,0.16666666666666666,-2.1456666666666666,-12.873999999999999
po3_bearish,trailing_5pct,yes,7,0.2857142857142857,-2.171557142857143,-15.2009
po3_bullish,atr_trail_1x,no,6,0.3333333333333333,-0.5389166666666667,-3.2335000000000003
po3_bullish,atr_trail_1x,yes,14,0.42857142857142855,-0.6679071428571428,-9.3507
po3_bullish,atr_trail_2x,no,6,0.6666666666666666,-0.8943166666666666,-5.3659
po3_bullish,atr_trail_2x,yes,14,0.21428571428571427,-1.6184571428571428,-22.6584
po3_bullish,atr_trail_mae_conditional,no,6,0.3333333333333333,-0.5389166666666667,-3.2335000000000003
po3_bullish,atr_trail_mae_conditional,yes,14,0.42857142857142855,-0.6679071428571428,-9.3507
po3_bullish,atr_trail_vix_conditional,no,6,0.16666666666666666,-1.2028666666666668,-7.2172
po3_bullish,atr_trail_vix_conditional,yes,14,0.14285714285714285,-1.0533,-14.7462
po3_bullish,break_even_at_1r,no,6,0.16666666666666666,-1.17945,-7.076700000000001
po3_bullish,break_even_at_1r,yes,14,0.07142857142857142,-1.8018571428571428,-25.226
po3_bullish,breakeven_plus_trail,no,6,0.16666666666666666,-1.7524666666666668,-10.514800000000001
po3_bullish,breakeven_plus_trail,yes,14,0.14285714285714285,-0.2795785714285715,-3.914100000000001
po3_bullish,chandelier_3x,no,6,0.5,-1.7293666666666667,-10.3762
po3_bullish,chandelier_3x,yes,14,0.07142857142857142,-1.7746357142857143,-24.8449
po3_bullish,class_time_stop,no,6,0.6666666666666666,1.0083499999999999,6.0501
po3_bullish,class_time_stop,yes,14,0.6428571428571429,2.0449714285714284,28.629599999999996
po3_bullish,earnings_blackout,no,6,0.8333333333333334,13.064599999999999,78.38759999999999
po3_bullish,earnings_blackout,yes,14,0.5,9.22172857142857,129.1042
po3_bullish,fixed_4r_2r,no,6,0.16666666666666666,-4.162866666666667,-24.9772
po3_bullish,fixed_4r_2r,yes,14,0.35714285714285715,0.9590285714285717,13.426400000000003
po3_bullish,hybrid_50pct_target,no,6,0.6666666666666666,-1.3201166666666666,-7.9207
po3_bullish,hybrid_50pct_target,yes,14,0.7857142857142857,2.047514285714286,28.665200000000002
po3_bullish,ma_exit_ema9,no,6,0.5,-0.2246499999999999,-1.3478999999999994
