tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,12,0.1667,-3.3573,0.2794,-40.2879,HIGH
HIGH,169,0.3136,-1.3935,0.6787,-235.4982,MEDIUM
