strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
cpr_narrow_bullish,time_stop_20d,31,0.6452,3.1503,3.5603,110.3708,-9.8245,26.8,1.0,71.07,True
po3_bullish,next_pivot_target,20,0.9,2.5254,1.0705,21.4095,-4.0355,9.9,1.0,89.95,True
bollinger_lower,ma_exit_ema9,14,0.4286,0.7196,-0.1364,-1.9103,-4.1933,1.4,1.0,40.85,True
bollinger_tight,next_pivot_target,10,0.8,1.8364,1.7363,17.3634,-10.7597,18.6,1.0,70.95,True
avwap_252_breakout,next_pivot_target,5,1.0,999.0,4.7944,23.9718,0.0,29.8,1.0,100.0,True
stochrsi_oversold,ma_exit_ema9,5,1.0,999.0,1.3749,6.8747,0.0,1.0,1.0,100.0,True
smc_choch_reversal,breakeven_plus_trail,7,0.2857,2.1394,1.8931,13.2519,-6.3673,41.7,0.8571,61.88,True
po3_bearish,next_pivot_target,13,0.6154,0.0712,-3.1594,-41.0723,-32.5245,4.4,1.0,24.62,True
avwap_50_reclaim,hybrid_50pct_target,16,0.9375,5.1265,6.7632,108.2115,-26.2238,123.5,0.9375,67.5,True
xs_momentum_top_decile,class_time_stop,9,0.7778,8.1772,8.1123,73.0108,-7.0698,35.8,1.0,80.51,True
monthly_bias_momentum_long,time_stop_20d,17,0.7059,4.0086,2.6603,45.2249,-6.1401,22.5,1.0,79.03,True
